Order ID,Ship Date,Ship Mode
CA-2017-106180,9/23/2017,Standard Class
CA-2017-155376,12/27/2017,Standard Class
CA-2015-110744,9/12/2015,Standard Class
CA-2014-110072,10/28/2014,Standard Class
CA-2016-114489,12/9/2016,Standard Class
CA-2016-158834,3/16/2016,First Class
CA-2015-124919,6/2/2015,First Class
CA-2015-118948,6/3/2015,Standard Class
CA-2014-104269,3/6/2014,Second Class
CA-2016-114104,11/24/2016,Standard Class
CA-2016-162733,5/12/2016,First Class
CA-2015-119697,12/31/2015,Second Class
CA-2016-154508,11/20/2016,Standard Class
CA-2016-113817,11/11/2016,Standard Class
CA-2014-139892,9/12/2014,Standard Class
CA-2014-118962,8/9/2014,Standard Class
US-2014-100853,9/19/2014,Standard Class
US-2017-152366,4/25/2017,Second Class
US-2015-101511,11/23/2015,Second Class
CA-2015-137225,12/19/2015,Standard Class
CA-2014-166191,12/9/2014,Second Class
CA-2014-158274,11/24/2014,Second Class
CA-2016-105018,12/2/2016,Standard Class
CA-2014-123260,8/30/2014,Standard Class
CA-2016-157000,7/22/2016,Standard Class
CA-2015-102281,10/14/2015,First Class
CA-2015-131457,11/6/2015,Standard Class
CA-2014-140004,3/25/2014,Standard Class
CA-2017-107720,11/13/2017,Standard Class
US-2017-124303,7/13/2017,Standard Class
CA-2017-105074,6/29/2017,Standard Class
CA-2014-133690,8/5/2014,First Class
US-2017-116701,12/21/2017,Second Class
CA-2017-126382,6/7/2017,Standard Class
CA-2017-108329,12/14/2017,Standard Class
CA-2017-135860,12/7/2017,Standard Class
CA-2015-101007,2/13/2015,Second Class
CA-2015-146262,1/9/2015,Standard Class
CA-2016-130162,11/1/2016,Standard Class
CA-2015-169397,12/27/2015,First Class
CA-2015-163055,8/16/2015,Standard Class
US-2015-145436,3/4/2015,Standard Class
US-2014-156216,9/17/2014,Standard Class
US-2017-100930,4/12/2017,Standard Class
CA-2017-160514,11/16/2017,Standard Class
CA-2016-157749,6/9/2016,Second Class
CA-2014-131926,6/6/2014,Second Class
CA-2016-154739,12/15/2016,Second Class
CA-2016-145625,9/17/2016,Standard Class
CA-2016-146941,12/13/2016,First Class
US-2015-159982,12/4/2015,Standard Class
CA-2017-163139,12/3/2017,Second Class
US-2017-155299,6/12/2017,Standard Class
US-2014-106992,9/21/2014,Second Class
CA-2016-125318,6/13/2016,Standard Class
CA-2015-155040,11/15/2015,Standard Class
CA-2017-136826,6/20/2017,Standard Class
CA-2016-111010,1/28/2016,Standard Class
US-2017-145366,12/13/2017,Standard Class
CA-2017-163979,1/2/2018,Second Class
CA-2015-155334,7/31/2015,First Class
CA-2017-118136,9/17/2017,First Class
CA-2017-132976,10/17/2017,Standard Class
US-2015-161991,9/28/2015,Second Class
CA-2015-130890,11/6/2015,Standard Class
CA-2015-130883,10/2/2015,Standard Class
CA-2016-112697,12/20/2016,Second Class
CA-2016-110772,11/24/2016,Second Class
CA-2014-111451,12/28/2014,First Class
CA-2016-142545,11/3/2016,Standard Class
US-2017-152380,11/23/2017,Standard Class
CA-2015-144253,5/9/2015,Second Class
CA-2014-130960,1/4/2015,Standard Class
CA-2014-111003,6/6/2014,Standard Class
CA-2017-126774,4/17/2017,First Class
CA-2016-142902,9/14/2016,Second Class
CA-2014-120887,10/3/2014,Standard Class
CA-2014-167850,8/16/2014,Standard Class
CA-2014-164259,12/30/2014,First Class
CA-2014-164973,11/9/2014,Standard Class
CA-2014-156601,9/24/2014,Standard Class
CA-2016-162138,4/27/2016,Standard Class
CA-2017-153339,11/5/2017,Second Class
US-2016-141544,9/1/2016,First Class
US-2016-150147,4/29/2016,Second Class
CA-2015-137946,9/4/2015,Second Class
CA-2014-129924,7/17/2014,Standard Class
CA-2015-128167,6/26/2015,Second Class
CA-2014-122336,4/17/2014,Second Class
US-2015-120712,12/24/2015,Standard Class
CA-2017-169901,6/19/2017,Standard Class
CA-2017-134306,7/12/2017,Standard Class
CA-2016-129714,9/3/2016,First Class
CA-2016-138520,4/13/2016,Standard Class
CA-2016-130001,4/28/2016,Standard Class
CA-2017-155698,3/11/2017,First Class
CA-2017-144904,10/1/2017,Standard Class
CA-2014-123344,9/29/2014,Standard Class
CA-2016-155516,10/21/2016,Same Day
CA-2017-104745,6/4/2017,Standard Class
US-2014-119137,7/27/2014,Standard Class
US-2016-134656,10/1/2016,First Class
US-2017-134481,9/1/2017,Standard Class
CA-2015-130792,5/5/2015,Standard Class
CA-2016-134775,10/29/2016,First Class
CA-2015-125395,6/29/2015,Second Class
US-2015-168935,12/2/2015,Standard Class
CA-2015-122756,12/7/2015,Standard Class
CA-2014-115973,11/26/2014,First Class
CA-2017-101798,12/15/2017,Standard Class
US-2014-135972,9/23/2014,Second Class
US-2014-134971,6/10/2014,Second Class
CA-2017-102946,7/5/2017,Standard Class
CA-2017-165603,10/19/2017,Second Class
CA-2015-122259,11/4/2015,Standard Class
CA-2016-108987,9/10/2016,Second Class
CA-2014-113166,12/26/2014,First Class
CA-2014-155208,4/20/2014,Standard Class
CA-2017-117933,12/29/2017,Standard Class
CA-2017-117457,12/12/2017,Standard Class
CA-2017-142636,11/7/2017,Standard Class
CA-2017-122105,6/28/2017,Standard Class
CA-2016-148796,4/18/2016,Standard Class
CA-2017-154816,11/10/2017,Standard Class
CA-2017-110478,3/9/2017,Standard Class
CA-2014-142048,6/25/2014,First Class
CA-2017-125388,10/23/2017,Standard Class
CA-2017-155705,8/23/2017,Second Class
CA-2017-149160,11/26/2017,Second Class
CA-2014-101476,9/13/2014,First Class
CA-2017-152275,10/8/2017,Standard Class
US-2016-123750,4/21/2016,Standard Class
CA-2016-127369,6/7/2016,First Class
US-2014-150574,12/25/2014,Standard Class
CA-2016-147375,6/14/2016,Second Class
CA-2017-130043,9/19/2017,Standard Class
CA-2017-157252,1/23/2017,Second Class
CA-2016-115756,9/7/2016,Second Class
CA-2017-154214,3/25/2017,Second Class
CA-2016-166674,4/3/2016,Second Class
CA-2017-147277,10/24/2017,Standard Class
CA-2016-100153,12/17/2016,Standard Class
US-2014-110674,2/18/2014,Standard Class
US-2016-157945,10/1/2016,Standard Class
CA-2015-109638,12/22/2015,Standard Class
CA-2016-109869,4/29/2016,Standard Class
US-2015-101399,1/24/2015,Standard Class
CA-2017-154907,4/4/2017,Standard Class
US-2016-100419,12/20/2016,Second Class
CA-2015-154144,12/24/2015,Standard Class
CA-2014-144666,11/11/2014,Second Class
CA-2016-103891,7/19/2016,Standard Class
CA-2016-152632,11/2/2016,Standard Class
CA-2016-100790,7/2/2016,Standard Class
CA-2014-134677,10/10/2014,Standard Class
CA-2014-127691,7/27/2014,Standard Class
CA-2017-140963,6/13/2017,First Class
CA-2014-154627,10/31/2014,First Class
CA-2014-133753,6/13/2014,Second Class
CA-2014-113362,9/19/2014,Standard Class
CA-2016-169166,5/14/2016,Standard Class
US-2016-120929,3/21/2016,Second Class
CA-2015-134782,12/31/2015,Standard Class
CA-2016-126158,7/31/2016,Standard Class
US-2016-105578,6/4/2016,Standard Class
CA-2017-134978,11/15/2017,Second Class
CA-2015-145352,3/22/2015,Standard Class
CA-2017-135307,11/27/2017,First Class
CA-2016-106341,10/23/2016,First Class
CA-2017-163405,12/25/2017,Standard Class
CA-2017-127432,1/27/2017,Standard Class
CA-2015-157812,3/26/2015,Standard Class
CA-2017-145142,1/25/2017,First Class
US-2016-139486,5/23/2016,First Class
CA-2015-158792,1/2/2016,Standard Class
CA-2017-113558,10/26/2017,Standard Class
US-2015-138303,9/7/2015,Standard Class
CA-2015-102848,11/9/2015,Second Class
US-2017-129441,9/11/2017,Standard Class
CA-2016-168753,6/1/2016,Second Class
CA-2016-126613,7/16/2016,Standard Class
US-2017-122637,9/8/2017,Second Class
CA-2015-147851,12/8/2015,Standard Class
CA-2015-134894,12/11/2015,Standard Class
CA-2014-140795,2/3/2014,First Class
CA-2016-136924,7/17/2016,First Class
US-2015-120161,12/23/2015,Standard Class
CA-2014-103849,5/16/2014,Standard Class
CA-2017-162929,11/22/2017,First Class
CA-2015-113173,11/17/2015,Second Class
CA-2016-136406,4/17/2016,Second Class
CA-2017-112774,9/12/2017,First Class
CA-2017-101945,11/28/2017,Standard Class
CA-2017-100650,7/3/2017,Second Class
CA-2014-155852,3/7/2014,Second Class
CA-2016-113243,6/15/2016,Standard Class
CA-2017-118731,11/22/2017,Second Class
CA-2014-145576,9/18/2014,Second Class
CA-2015-130736,12/9/2015,First Class
CA-2017-137099,12/10/2017,First Class
CA-2017-156951,10/8/2017,Standard Class
CA-2017-164826,1/4/2018,Standard Class
CA-2016-127250,11/7/2016,Standard Class
CA-2015-149713,9/22/2015,Second Class
CA-2017-118640,7/26/2017,Standard Class
CA-2015-132906,9/14/2015,Standard Class
CA-2017-145233,12/5/2017,Standard Class
CA-2015-128139,7/9/2015,Standard Class
US-2016-156986,3/24/2016,Standard Class
CA-2014-135405,1/13/2014,Standard Class
CA-2014-131450,8/15/2014,Standard Class
CA-2016-120180,7/16/2016,First Class
US-2016-100720,7/21/2016,Standard Class
CA-2014-149958,3/19/2014,Standard Class
US-2014-105767,5/27/2014,Standard Class
CA-2016-161816,5/1/2016,First Class
CA-2016-121223,9/13/2016,Second Class
CA-2017-138611,11/17/2017,Second Class
CA-2017-117947,8/23/2017,Second Class
US-2014-111171,12/31/2014,Standard Class
CA-2015-138009,12/3/2015,Standard Class
CA-2017-163020,9/19/2017,Standard Class
CA-2017-153787,5/23/2017,Standard Class
CA-2017-133431,12/21/2017,Standard Class
US-2016-135720,12/13/2016,Second Class
CA-2017-144694,9/26/2017,Second Class
CA-2015-168004,10/9/2015,Second Class
US-2016-123470,8/21/2016,Standard Class
CA-2016-115917,5/25/2016,Standard Class
CA-2016-147067,12/22/2016,Standard Class
CA-2017-167913,8/3/2017,Second Class
CA-2017-106103,6/15/2017,Standard Class
US-2017-127719,7/25/2017,Standard Class
CA-2017-126221,1/5/2018,Standard Class
CA-2016-103947,4/8/2016,Standard Class
CA-2016-160745,12/16/2016,Second Class
CA-2016-132661,10/29/2016,Standard Class
CA-2017-140844,6/23/2017,Standard Class
CA-2016-137239,8/28/2016,Standard Class
US-2016-156097,9/19/2016,Same Day
CA-2015-146563,8/28/2015,Standard Class
CA-2016-123666,3/30/2016,Standard Class
CA-2016-143308,11/4/2016,Same Day
CA-2017-132682,6/10/2017,Second Class
CA-2014-156314,12/26/2014,First Class
US-2017-106663,6/13/2017,Standard Class
CA-2017-111178,6/22/2017,Standard Class
CA-2017-130351,12/8/2017,First Class
US-2017-119438,3/23/2017,Standard Class
CA-2016-164511,11/24/2016,Standard Class
US-2017-168116,11/4/2017,Same Day
CA-2014-157784,7/8/2014,First Class
CA-2017-161480,12/29/2017,Standard Class
US-2014-117135,6/23/2014,Second Class
CA-2015-131534,4/2/2015,Standard Class
CA-2015-119291,5/17/2015,First Class
CA-2017-114552,9/8/2017,Standard Class
CA-2016-163755,11/8/2016,Second Class
CA-2015-142027,4/14/2015,Standard Class
CA-2014-138527,9/17/2014,Standard Class
CA-2014-112158,12/4/2014,First Class
CA-2014-113887,4/7/2014,First Class
CA-2017-146136,9/7/2017,Standard Class
US-2017-100048,5/24/2017,Standard Class
CA-2014-153150,7/6/2014,Second Class
CA-2014-130092,1/14/2014,First Class
CA-2017-108910,9/29/2017,Standard Class
CA-2014-104472,6/7/2014,Standard Class
CA-2016-112942,2/18/2016,Standard Class
CA-2016-142335,12/19/2016,Standard Class
CA-2014-117429,10/13/2014,Standard Class
CA-2016-114713,7/12/2016,Standard Class
CA-2017-144113,9/20/2017,Standard Class
US-2016-150861,12/6/2016,First Class
CA-2017-131954,1/25/2017,Standard Class
CA-2014-132500,9/12/2014,Standard Class
CA-2014-112326,1/8/2014,Standard Class
US-2016-146710,9/1/2016,Standard Class
CA-2014-124429,5/27/2014,Same Day
CA-2016-150889,3/22/2016,Second Class
CA-2017-126074,10/6/2017,Standard Class
CA-2016-110499,4/9/2016,First Class
CA-2015-135272,12/12/2015,Standard Class
CA-2016-140928,9/22/2016,Standard Class
CA-2014-106803,1/2/2015,Standard Class
CA-2017-117240,7/28/2017,Standard Class
CA-2017-133333,9/22/2017,Standard Class
CA-2015-112319,9/5/2015,Standard Class
CA-2017-126046,11/7/2017,Standard Class
CA-2015-114923,2/13/2015,Standard Class
CA-2014-162775,1/15/2014,Second Class
CA-2014-106810,5/20/2014,Standard Class
CA-2016-157245,5/24/2016,Standard Class
CA-2017-104220,2/5/2017,Standard Class
CA-2014-165974,7/6/2014,Standard Class
CA-2015-144267,8/23/2015,First Class
US-2015-157014,10/6/2015,Second Class
CA-2015-154921,5/28/2015,Standard Class
CA-2017-129567,3/21/2017,Second Class
CA-2015-154620,12/16/2015,Standard Class
CA-2015-115938,6/30/2015,Standard Class
CA-2016-105256,5/20/2016,Same Day
CA-2014-156433,9/26/2014,Standard Class
CA-2017-151428,9/26/2017,Standard Class
CA-2015-124653,12/26/2015,First Class
CA-2015-101910,12/3/2015,Standard Class
CA-2017-105809,2/23/2017,First Class
CA-2016-136133,8/23/2016,Second Class
CA-2016-115504,3/17/2016,Standard Class
CA-2017-135783,4/24/2017,First Class
CA-2014-134313,11/7/2014,Standard Class
CA-2015-140921,2/5/2015,First Class
CA-2014-151995,10/15/2014,First Class
CA-2017-143686,5/14/2017,Same Day
CA-2015-106565,3/23/2015,First Class
CA-2016-149370,9/19/2016,Standard Class
CA-2014-140858,7/2/2014,Standard Class
CA-2017-101434,6/27/2017,Standard Class
US-2014-102071,5/15/2014,Standard Class
CA-2017-126956,8/28/2017,Standard Class
CA-2017-129462,6/21/2017,Second Class
CA-2016-165316,7/27/2016,Standard Class
US-2014-115987,9/13/2014,Second Class
US-2017-156083,11/11/2017,Standard Class
US-2016-137547,3/12/2016,Standard Class
CA-2015-100454,11/25/2015,Standard Class
CA-2016-161669,11/9/2016,First Class
CA-2015-114300,10/17/2015,Standard Class
CA-2017-107503,1/6/2017,Standard Class
CA-2014-107755,2/12/2014,Standard Class
CA-2016-152534,6/25/2016,Second Class
CA-2016-113747,6/4/2016,Standard Class
CA-2016-123274,2/24/2016,Standard Class
CA-2014-125612,8/8/2014,Standard Class
CA-2017-161984,4/15/2017,Standard Class
CA-2014-133851,6/16/2014,Standard Class
CA-2016-134474,1/7/2016,Second Class
CA-2014-149020,1/15/2014,Standard Class
CA-2016-134362,10/2/2016,First Class
CA-2014-136742,4/10/2014,Standard Class
CA-2016-158099,9/5/2016,First Class
CA-2015-131128,10/20/2015,First Class
CA-2014-148488,12/15/2014,Standard Class
CA-2017-114636,8/29/2017,Standard Class
CA-2016-116736,1/21/2016,Standard Class
US-2014-158638,9/21/2014,Standard Class
CA-2017-111689,12/2/2017,Second Class
CA-2015-129098,10/13/2015,Standard Class
US-2017-123463,12/23/2017,Same Day
CA-2016-165148,10/24/2016,First Class
CA-2014-134061,5/4/2014,Standard Class
CA-2015-143602,4/28/2015,Second Class
CA-2017-115364,7/2/2017,Standard Class
CA-2017-150707,10/19/2017,Standard Class
CA-2014-104976,12/16/2014,Standard Class
CA-2017-132934,6/26/2017,Standard Class
CA-2017-133256,6/27/2017,First Class
CA-2016-105494,11/12/2016,First Class
CA-2016-140634,10/6/2016,Second Class
CA-2014-144407,9/15/2014,Standard Class
CA-2017-160983,10/31/2017,Second Class
US-2016-114622,4/12/2016,First Class
CA-2017-150959,11/13/2017,First Class
CA-2017-132353,9/17/2017,First Class
CA-2016-130477,4/12/2016,Standard Class
CA-2017-143259,1/3/2018,Standard Class
CA-2017-137596,9/7/2017,Standard Class
CA-2015-133627,6/7/2015,Standard Class
CA-2017-102519,11/29/2017,First Class
US-2014-141215,6/21/2014,Standard Class
CA-2016-165218,3/11/2016,Standard Class
CA-2014-138296,12/12/2014,Standard Class
CA-2015-111164,4/15/2015,Standard Class
CA-2016-149797,9/20/2016,Standard Class
CA-2014-132962,9/16/2014,First Class
CA-2015-115091,10/9/2015,Standard Class
CA-2017-144932,4/17/2017,First Class
CA-2017-114216,9/6/2017,Standard Class
CA-2016-140081,6/24/2016,Standard Class
US-2017-111745,11/6/2017,First Class
CA-2015-148250,12/17/2015,Standard Class
CA-2016-105760,6/20/2016,First Class
CA-2016-142958,12/20/2016,Standard Class
CA-2015-120880,6/3/2015,Standard Class
US-2015-140200,7/28/2015,First Class
US-2017-110576,12/2/2017,Standard Class
CA-2017-131156,4/7/2017,Standard Class
CA-2017-136539,1/1/2018,Standard Class
CA-2017-119305,12/4/2017,Standard Class
CA-2017-102414,5/18/2017,Second Class
CA-2015-112571,9/22/2015,Same Day
CA-2017-152142,11/19/2017,Standard Class
CA-2015-160059,12/1/2015,Standard Class
CA-2016-120859,9/4/2016,First Class
CA-2014-127488,9/24/2014,Second Class
CA-2017-135279,4/11/2017,First Class
CA-2014-115791,1/18/2014,Second Class
US-2017-103247,10/8/2017,Second Class
US-2017-100209,7/15/2017,Standard Class
CA-2017-159366,1/10/2017,First Class
CA-2016-145499,5/31/2016,First Class
CA-2015-157035,12/12/2015,First Class
CA-2016-144939,10/8/2016,Standard Class
CA-2014-163419,11/14/2014,Second Class
CA-2017-100314,10/5/2017,Standard Class
CA-2015-146829,3/10/2015,Same Day
CA-2017-167899,5/26/2017,Standard Class
CA-2015-153549,3/31/2015,Second Class
CA-2016-110023,9/11/2016,First Class
CA-2016-105585,8/27/2016,First Class
CA-2014-117639,5/25/2014,Standard Class
CA-2015-162537,11/3/2015,Standard Class
CA-2016-155488,11/17/2016,Standard Class
CA-2015-124891,7/31/2015,Same Day
CA-2015-126445,8/31/2015,Standard Class
CA-2015-111199,11/17/2015,Standard Class
CA-2015-105312,11/9/2015,First Class
US-2017-106705,1/1/2018,Standard Class
CA-2017-135034,8/3/2017,First Class
CA-2014-158540,11/26/2014,First Class
CA-2017-118437,6/21/2017,Second Class
US-2015-126214,12/24/2015,Second Class
CA-2015-133025,9/19/2015,Second Class
CA-2015-108665,7/10/2015,Standard Class
CA-2015-124450,5/3/2015,Standard Class
CA-2015-167269,6/20/2015,Standard Class
CA-2017-106964,12/20/2017,First Class
CA-2016-126529,1/13/2016,Second Class
CA-2014-163552,7/15/2014,Standard Class
CA-2016-109820,11/22/2016,First Class
CA-2016-113061,4/26/2016,Standard Class
CA-2015-127418,6/14/2015,First Class
CA-2017-121818,11/21/2017,First Class
CA-2016-127670,3/24/2016,Standard Class
CA-2016-102981,9/9/2016,Second Class
CA-2017-115651,7/12/2017,First Class
CA-2017-152702,10/16/2017,Standard Class
CA-2016-169103,3/13/2016,Standard Class
CA-2014-139192,6/1/2014,Second Class
US-2015-153500,7/5/2015,First Class
CA-2015-110667,4/8/2015,Standard Class
CA-2017-167150,12/17/2017,Standard Class
CA-2016-105284,12/1/2016,Standard Class
US-2015-125374,3/29/2015,Standard Class
CA-2015-161263,4/21/2015,Standard Class
CA-2016-157686,10/2/2016,First Class
US-2017-139955,9/30/2017,Second Class
US-2015-150161,7/29/2015,Standard Class
CA-2015-144652,11/26/2015,Standard Class
CA-2016-152814,5/2/2016,Standard Class
CA-2017-106943,11/19/2017,Standard Class
CA-2016-134348,11/19/2016,Standard Class
CA-2016-161781,9/30/2016,First Class
CA-2017-132521,9/25/2017,Second Class
CA-2015-110016,12/4/2015,Standard Class
US-2016-143819,3/5/2016,Standard Class
CA-2016-167584,8/12/2016,Same Day
CA-2016-166163,8/20/2016,Second Class
CA-2017-158407,6/10/2017,Standard Class
CA-2015-143490,12/13/2015,Standard Class
CA-2015-165085,12/31/2015,Standard Class
CA-2017-160423,1/26/2017,Standard Class
CA-2014-159338,6/28/2014,First Class
CA-2016-107216,6/17/2016,First Class
US-2017-145863,4/27/2017,Standard Class
CA-2016-112340,10/27/2016,Standard Class
US-2016-110156,11/24/2016,Standard Class
CA-2017-140585,12/23/2017,Second Class
CA-2016-144855,7/24/2016,Second Class
CA-2015-142755,9/8/2015,Standard Class
US-2014-147627,1/26/2014,Standard Class
CA-2015-105970,3/7/2015,Standard Class
CA-2016-112102,4/16/2016,Standard Class
US-2016-114776,12/7/2016,First Class
US-2016-134908,6/9/2016,Standard Class
US-2016-148803,12/11/2016,Same Day
CA-2016-152170,11/15/2016,Second Class
CA-2014-146969,10/3/2014,Standard Class
CA-2015-112452,4/4/2015,Same Day
CA-2015-113971,5/14/2015,Standard Class
CA-2017-160395,1/6/2017,Standard Class
CA-2014-136567,12/21/2014,First Class
CA-2016-149314,7/7/2016,Second Class
CA-2017-147039,7/4/2017,Standard Class
CA-2014-126522,9/5/2014,Second Class
CA-2014-127964,3/8/2014,Standard Class
CA-2014-117709,5/8/2014,Standard Class
CA-2015-125416,11/2/2015,Same Day
CA-2017-145226,12/10/2017,Second Class
US-2014-100279,3/14/2014,Standard Class
CA-2014-158064,4/25/2014,Standard Class
US-2015-104430,10/26/2015,Standard Class
CA-2015-132080,8/25/2015,First Class
CA-2016-161207,9/3/2016,Standard Class
CA-2014-120243,12/30/2014,Second Class
CA-2016-113621,12/5/2016,Standard Class
CA-2016-168081,4/27/2016,Second Class
CA-2014-128146,6/25/2014,Standard Class
CA-2017-138779,1/15/2017,First Class
CA-2014-127131,11/30/2014,Standard Class
CA-2017-117212,2/28/2017,Second Class
US-2015-130519,9/15/2015,Same Day
CA-2016-130946,4/12/2016,Standard Class
CA-2016-114727,7/24/2016,Standard Class
CA-2017-133235,8/4/2017,First Class
CA-2016-137050,7/18/2016,Second Class
US-2017-118087,9/13/2017,Standard Class
CA-2014-110184,7/16/2014,Standard Class
CA-2016-126004,12/5/2016,First Class
CA-2017-100013,11/11/2017,Standard Class
CA-2015-132570,11/2/2015,Second Class
CA-2016-153682,6/1/2016,First Class
CA-2016-144344,10/28/2016,Same Day
CA-2014-127012,8/15/2014,Standard Class
CA-2016-128727,9/4/2016,Standard Class
US-2016-162859,2/22/2016,Standard Class
CA-2017-133641,5/21/2017,Standard Class
CA-2014-168494,12/14/2014,Second Class
CA-2017-115602,12/24/2017,Standard Class
CA-2015-154956,7/9/2015,Standard Class
CA-2017-144638,3/14/2017,Standard Class
US-2016-168620,12/28/2016,Second Class
CA-2017-117079,10/27/2017,Standard Class
US-2016-144393,11/4/2016,Standard Class
CA-2017-105053,7/9/2017,Second Class
CA-2016-155992,10/2/2016,First Class
CA-2017-110380,9/7/2017,Standard Class
US-2014-167738,12/29/2014,Standard Class
CA-2017-121412,9/27/2017,Standard Class
CA-2017-100426,6/8/2017,Standard Class
US-2016-103646,4/26/2016,Standard Class
CA-2016-119186,5/26/2016,Same Day
CA-2016-148698,5/7/2016,Standard Class
CA-2014-163293,9/11/2014,First Class
CA-2016-160815,9/6/2016,First Class
CA-2017-122154,4/11/2017,First Class
US-2015-149692,12/12/2015,Standard Class
CA-2016-119445,7/3/2016,Standard Class
CA-2015-124268,7/8/2015,Standard Class
CA-2016-154711,11/26/2016,Standard Class
CA-2016-163384,11/12/2016,First Class
CA-2015-101707,9/1/2015,Standard Class
CA-2015-138898,5/29/2015,Standard Class
CA-2017-115427,1/3/2018,Standard Class
CA-2016-134425,12/12/2016,Second Class
CA-2015-121391,10/7/2015,First Class
CA-2016-137043,12/25/2016,Second Class
CA-2015-115847,9/24/2015,Second Class
US-2017-126179,7/7/2017,Standard Class
CA-2016-101966,7/16/2016,Second Class
CA-2016-141397,6/21/2016,First Class
CA-2016-141082,12/13/2016,Standard Class
US-2016-134488,10/1/2016,Standard Class
CA-2016-145919,12/23/2016,Standard Class
CA-2017-157651,12/14/2017,Standard Class
CA-2014-160773,7/5/2014,Standard Class
CA-2017-167703,2/8/2017,Standard Class
CA-2017-121804,3/8/2017,Standard Class
CA-2017-162635,10/10/2017,First Class
CA-2014-107153,10/3/2014,Standard Class
US-2014-117058,5/30/2014,First Class
CA-2015-120439,6/18/2015,Standard Class
CA-2016-128258,4/1/2016,First Class
CA-2017-106033,10/18/2017,Second Class
CA-2016-142762,5/27/2016,Standard Class
CA-2017-127705,6/6/2017,Standard Class
CA-2014-122567,2/21/2014,Standard Class
CA-2014-121664,5/10/2014,Standard Class
CA-2016-122133,5/23/2016,Standard Class
US-2017-123281,4/7/2017,Standard Class
CA-2017-100524,4/2/2017,Second Class
CA-2017-113481,1/4/2017,First Class
CA-2015-131758,6/1/2015,Standard Class
CA-2014-118339,3/24/2014,Standard Class
CA-2014-153976,10/8/2014,Second Class
CA-2016-162901,3/31/2016,First Class
CA-2017-162978,5/9/2017,Standard Class
US-2014-160444,7/5/2014,Same Day
CA-2016-145247,5/7/2016,First Class
CA-2017-160045,4/27/2017,First Class
US-2014-151925,10/1/2014,Second Class
CA-2017-125199,10/25/2017,Standard Class
US-2017-155425,11/11/2017,First Class
CA-2017-133249,7/11/2017,First Class
US-2015-103471,12/28/2015,Standard Class
CA-2017-136672,3/12/2017,Standard Class
US-2014-157021,4/6/2014,Second Class
CA-2015-120362,9/19/2015,Standard Class
CA-2014-126361,8/9/2014,Second Class
US-2016-100566,9/9/2016,Standard Class
US-2016-108504,2/5/2016,Same Day
